FECHA,HORA INICIO,TOTAL CORREOS,MENSAJES POR ENVIAR,MENSAJES ENVIADOS,HORA FINAL
26 Jan 17,12:55:07,1,1,1,12:55:14
26 Jan 17,12:56:26,1,1,1,12:56:35
26 Jan 17,12:57:30,1,1,1,12:57:38
26 Jan 17,13:02:02,1,1,1,13:02:10
26 Jan 17,13:24:41,1,1,1,13:24:55
27 Jan 17,12:53:56,1,1,1,12:54:04
27 Jan 17,13:06:03,1,1,1,13:06:10
27 Jan 17,14:26:43,1,1,1,14:26:50
27 Jan 17,14:26:56,1,1,1,14:27:03
27 Jan 17,14:30:21,1,1,1,14:30:28
27 Jan 17,14:31:28,1,1,1,14:31:36
27 Jan 17,14:53:13,1,1,1,14:53:21
27 Jan 17,15:38:32,1,1,1,15:38:39
27 Jan 17,16:57:35,1,1,1,16:57:42
27 Jan 17,21:38:03,1,1,1,21:38:10
28 Jan 17,11:00:03,1,1,1,11:00:11
28 Jan 17,11:07:11,1,1,1,11:07:19
28 Jan 17,11:08:25,2,2,2,11:08:39
28 Jan 17,11:17:57,1,1,1,11:18:04
28 Jan 17,11:18:10,1,1,1,11:18:17
28 Jan 17,11:34:03,1,1,1,11:34:11
28 Jan 17,12:25:02,1,1,1,12:25:10
28 Jan 17,12:26:05,1,1,1,12:26:13
28 Jan 17,12:32:02,1,1,1,12:32:10
28 Jan 17,12:41:35,1,1,1,12:41:43
28 Jan 17,13:00:39,1,1,1,13:00:47
28 Jan 17,13:03:54,2,2,2,13:04:09
28 Jan 17,13:10:09,1,1,1,13:10:16
28 Jan 17,13:13:28,1,1,1,13:13:36
28 Jan 17,13:13:48,1,1,1,13:13:55
28 Jan 17,13:20:01,1,1,1,13:20:08
28 Jan 17,13:20:38,1,1,1,13:20:46
28 Jan 17,13:21:16,1,1,1,13:21:24
28 Jan 17,13:22:42,1,1,1,13:22:49
28 Jan 17,13:26:05,1,1,1,13:26:12
28 Jan 17,13:28:54,1,1,1,13:29:02
28 Jan 17,13:30:20,1,1,1,13:30:27
28 Jan 17,13:30:45,1,1,1,13:30:52
28 Jan 17,13:32:34,1,1,1,13:32:42
28 Jan 17,13:36:00,1,1,1,13:36:07
28 Jan 17,13:36:25,1,1,1,13:36:33
28 Jan 17,13:37:27,1,1,1,13:37:34
28 Jan 17,13:38:16,1,1,1,13:38:23
28 Jan 17,13:39:30,1,1,1,13:39:37
28 Jan 17,13:40:49,1,1,1,13:40:56
28 Jan 17,13:41:02,1,1,1,13:41:09
28 Jan 17,13:43:51,2,2,2,13:44:05
28 Jan 17,13:45:23,1,1,1,13:45:31
28 Jan 17,13:52:38,1,1,1,13:52:45
28 Jan 17,13:53:39,1,1,1,13:53:47
28 Jan 17,13:54:29,1,1,1,13:54:36
28 Jan 17,13:55:18,1,1,1,13:55:25
28 Jan 17,14:05:03,1,1,1,14:05:10
28 Jan 17,14:13:52,1,1,1,14:13:59
28 Jan 17,14:14:11,1,1,1,14:14:20
28 Jan 17,14:15:02,2,2,2,14:15:17
28 Jan 17,14:15:23,1,1,1,14:15:31
28 Jan 17,14:16:56,1,1,1,14:17:04
28 Jan 17,14:21:58,1,1,1,14:22:05
28 Jan 17,14:29:42,1,1,1,14:29:49
28 Jan 17,14:35:43,1,1,1,14:35:50
28 Jan 17,14:36:56,1,1,1,14:37:04
28 Jan 17,14:46:44,1,1,1,14:46:51
